Label,Count
bug,2008
enhancement,1042
documentation,980
dependency-update,523
test-failure,521
compiler,504
feature-request,495
ui,488
build,466
compiler-error,433
api,430
performance,408
testing,371
ci,333
runtime,306
dependency-upgrade,253
test,225
security,221
cli,209
regression,203
editor,194
database,193
feature,187
build-system,179
esql,156
terminal,150
gopls,141
logging,138
plugin,138
windows,134
runtime-error,125
type-system,119
gradle,118
configuration,116
dynamo,116
rendering,114
syntax,110
web,106
behavior,98
extension,95
accessibility,93
docker,93
dependency-management,93
maven,90
spring-framework,89
trait,88
spring-boot,87
typescript,86
integration,86
crash,83
panic,83
dependency,82
integration-test,80
sql,79
error,76
optimization,75
docs,72
dependency-resolution,71
compile-error,70
http,70
search,68
type-error,68
crypto,65
tooling,65
language,64
core,63
aot,62
instrumentation,61
cuda,61
spel,59
memory-leak,58
android,58
networking,57
lifetime,57
distributed,57
python,56
codegen,56
upgrade,56
java,56
installation,55
cache,55
rustc,55
inductor,55
layout,54
reactor,54
css,53
messaging,53
pulsar,52
workspace,51
component,51
kotlin,51
mvc,51
config,50
jit,50
debugger,49
deprecation,49
build-failure,49
chat,48
cpu,48
micrometer,48
error-message,47
improvement,47
ux,46
user-interface,46
tracing,46
std,46
rustdoc,46
memory,45
httpclient,45
telemetry,44
parser,44
metrics,44
frontend,44
mir,44
spring-data,44
workflow,43
autograd,43
ddl,43
authentication,42
async,42
server,42
segfault,42
migration,42
onnx,42
mps,42
infrastructure,40
jdbc,40
compiler-bug,39
tomcat,39
compile-time,38
cgo,38
functionality,37
import,36
ios,36
index,36
compilation,36
debug,35
completion,35
os,35
concurrency,35
kafka,35
query-planner,35
renderer,34
web-server,34
network,34
llvm,34
suggestion,33
generics,33
memory-safety,33
compatibility,33
dependencies,33
ownership,33
attention,33
reactive,33
r2dbc,33
jetty,33
native-image,33
language-server,32
dom,32
routing,32
graphql,32
optimizer,32
ssl,32
auto-configuration,32
extensions,31
markdown,31
diagnostics,31
struct,31
compiler-behavior,31
aten,31
x-pack,31
settings,30
environment,30
command-line,30
template,30
json,30
enum,30
indexing,30
theme,29
type-bug,29
sync,29
api-change,29
serialization,29
packaging,29
testfailure,29
dependency-conflict,29
neo4j,29
webflux,29
macos,28
debugging,28
refactoring,28
linking,28
metadata,28
warning,28
analysis,28
const-eval,28
tensor,28
executor,28
validation,28
input,27
linux,27
formatting,27
gc,27
doc,27
macro,27
gui,27
torch-compile,27
actuator,27
opcache,27
tikv,27
workbench,26
bugs,26
encoding,26
website,26
bootstrap,26
toolchain,25
fuzzing,25
iterator,25
data-race,25
torch.compile,25
notebook,24
caching,24
error-handling,24
language-feature,24
flaky,24
release,24
cmake,24
nn,24
pip,24
vim9script,24
gpu,23
extension-api,23
internal,23
scripting,23
threading,23
functional,23
zend-engine,23
vimscript,23
navigation,22
webserver,22
compile,22
cmd/go,22
linker,22
user-experience,22
assertionerror,22
pytorch-core,22
triton,22
export,22
hibernate,22
netty,22
framework-upgrade,22
mockito,22
reflection,22
planner,22
tools,21
package-manager,21
memory-management,21
http2,21
typechecker,21
traits,21
fsdp,21
storage,21
jackson,21
jms,21
uv-cli,21
powershell,20
localization,20
turbopack,20
abi,20
clippy,20
lint,20
operator,20
xpu,20
pytorch,20
junit,20
spring-session,20
ldap,20
annotation,20
aop,20
information-schema,20
git,19
backend,19
syscall,19
net/http,19
compiler-internal,19
assertion,19
function,19
quantization,19
partitioning,19
mysql,19
rest,19
zend,19
race-condition,18
scrolling,18
runtimeerror,18
html,18
refactor,18
ssa,18
linting,18
assertion-failure,18
overflow,18
fs,18
http-client,18
libraries,18
spring-hateoas,18
infoschema,18
shell,17
coverage,17
c++,17
event-handling,17
wasm,17
code-style,17
asan,17
api-design,17
type-inference,17
library,17
components,17
unsafe-code,17
compiler-warning,17
compilation-error,17
inference,17
framework,17
classpath,17
webclient,17
aggregation,17
tidb-server,17
ttl,17
ide,16
filter,16
runtime-panic,16
breaking-change,16
integer-overflow,16
lifecycle,16
borrow-checker,16
flaky-test,16
pytorch-api,16
cpp,16
groovy,16
webmvc,16
suggest,15
keyboard,15
schema,15
timeout,15
ui-bug,15
permissions,15
npm,15
repl,15
filesystem,15
go/types,15
analyzer,15
net,15
rfc,15
test-framework,15
language-design,15
io,15
vite,15
mongodb,15
build-tools,15
mobile,15
build-process,15
torchscript,15
scheduler,15
amp,15
svelte-5,15
upgrades,15
library-update,15
virtual-threads,15
buildpack,15
undertow,15
gradle-plugin,15
xpack,15
dependency-injection,15
decompiler,15
backup,15
javascript,14
experimental,14
script,14
client,14
gdb,14
language-go,14
package-management,14
match,14
array,14
rocm,14
mapping,14
rpc,14
spring-retry,14
amqp,14
spring-test,14
restore,14
filetype,14
auth,13
copilot,13
clipboard,13
typeerror,13
styling,13
design,13
input-handling,13
model,13
image,13
style,13
lsp,13
profiler,13
build-error,13
cross-compilation,13
cleanup,13
install,13
binding,13
f-compiler,13
safety,13
backward,13
dynamic-shape,13
fx,13
data-type,13
redis,13
xml,13
spring-boot-configuration,13
properties,13
testcontainers,13
spring-integration,13
query,13
decompilation,13
uv-tool,13
br,13
tiflash,13
netrw,13
hover,12
autocomplete,12
comments,12
file-system,12
automation,12
command,12
api-proposal,12
output,12
nextjs,12
build-issue,12
app-router,12
parsing,12
tls,12
fmt,12
const,12
behavior-change,12
module,12
monitoring,12
snapshot,12
lockfile,12
trait-related,12
pattern-matching,12
f-traits,12
closures,12
f-compiler-error,12
compiler-lint,12
undefined-behavior,12
hydration,12
reactivity,12
graph,12
elasticsearch,12
postgresql,12
exception,12
aspectj,12
highlighting,12
date,12
data-consistency,12
console,11
preview,11
task,11
session,11
kernel,11
ssh,11
ssr,11
module-resolution,11
math,11
slices,11
pprof,11
types,11
profiling,11
driver,11
go,11
test-runner,11
miri,11
change-detection,11
torchdynamo,11
pytorch-dynamo,11
dynamic-shapes,11
device,11
dtensor,11
data-types,11
azure,11
integration-tests,11
datasource,11
driver-upgrade,11
spring-web,11
autowiring,11
stats,11
desktop,11
uv-sync,11
undefinedbehaviorsanitizer,11
explorer,10
display,10
icon,10
module-system,10
text,10
code-cleanup,10
example,10
worker,10
unstable,10
elf,10
hash,10
ast,10
reproducibility,10
string,10
webgpu,10
import-error,10
dependency-issue,10
compiletest,10
typechecking,10
warnings,10
coroutines,10
transformers,10
custom-ops,10
complex-numbers,10
python-api,10
dtype,10
p2p,10
actions,10
templating,10
driver-update,10
opentelemetry,10
graalvm,10
spring-graphql,10
github-actions,10
rest-api,10
jpa,10
bean-definition,10
uvx,10
spl,10
proxy,9
keybindings,9
focus,9
update,9
usability,9
input-method,9
diff,9
esm,9
language-features,9
ui-issue,9
next-dev,9
fetch,9
reflect,9
dashboard,9
proposal,9
unicode,9
generic,9
webdav,9
v8,9
node-api,9
deps,9
svelte,9
format,9
async-await,9
const-evaluation,9
translation,9
i18n,9
typo,9
custom-op,9
checkpoint,9
backport,9
plugin-update,9
couchbase,9
bomr,9
shutdown,9
npe,9
spring-kafka,9
hazelcast,9
data-access,9
ci-cd,9
mail,9
discovery,9
query-execution,9
repository,9
php-core,9
ubsan,9
phpdbg,9
lightning,9
query-performance,9
sql-parser,9
color,8
event,8
shell-integration,8
startup,8
features,8
language-support,8
api-documentation,8
comment,8
tasks,8
browser,8
api-clarity,8
typos,8
command-palette,8
sorting,8
assertion-error,8
swc,8
redirect,8
vet,8
grpc,8
unsafe,8
vscode,8
path,8
test-failures,8
slice,8
architecture,8
environment-variables,8
formatter,8
sveltekit,8
api-compatibility,8
std-library,8
ffi,8
thread-safety,8
edition-2024,8
attribute,8
naming,8
target,8
t-compiler,8
runtime-behavior,8
generator,8
scope,8
comptime,8
signals,8
zone.js,8
aoti,8
checkpointing,8
torchinductor,8
tensor-operations,8
linalg,8
transformer,8
accuracy,8
toml,8
batch,8
spring-boot-dependencies,8
authorization,8
backward-compatibility,8
bean,8
maven-plugin,8
rest-template,8
library-upgrade,8
jsp,8
exception-handling,8
servlet,8
lucene,8
ml,8
cluster,8
mapper,8
bean-lifecycle,8
datetime,8
analyze,8
gd,8
query-optimization,8
mysql-compatibility,8
foreign-key,8
settings-sync,7
menu,7
angular,7
selection,7
event-listener,7
profile,7
jupyter,7
help,7
url,7
view,7
eslint,7
loader,7
router,7
packages,7
protocol,7
quic,7
race-detector,7
govulncheck,7
scheduling,7
goroutine,7
spec,7
crypto/tls,7
wiki,7
trace,7
asm,7
download,7
context,7
link,7
fabric,7
textinput,7
devtools,7
streams,7
collaboration,7
jsr,7
websocket,7
compiler-suggestion,7
macro-expansion,7
compiler-crash,7
coherence,7
cargo,7
test-infrastructure,7
recursion,7
const-generics,7
derive,7
simd,7
closure,7
trait-bounds,7
uv,7
segmentation-fault,7
cursor,7
typing,7
injection,7
angular-cli,7
torch-function,7
dynamic-graph,7
nccl,7
numpy,7
complex,7
training,7
svelte-compiler,7
shortcode,7
content,7
deployment,7
autoconfiguration,7
spring-boot-autoconfigure,7
infinispan,7
spring-boot-web,7
zipkin,7
jaxb,7
data-streams,7
ci-test-failure,7
annotation-processing,7
spring-context,7
file-handling,7
openssl,7
pikpak,7
pdo,7
fuzzy,7
status-bar,6
markup,6
rust,6
api-enhancement,6
feedback,6
release-notes,6
persistence,6
test-flaky,6
code-review,6
hang,6
mouse,6
turbo,6
middleware,6
server-actions,6
internationalization,6
parallelism,6
runtime-issue,6
semantic-tokens,6
syscalls,6
interface,6
unix,6
perf,6
signal,6
dns,6
build-tool,6
tool,6
client-server,6
internal-error,6
api-breaking-change,6
semantic-analysis,6
test-suite,6
compile-time-error,6
api-reference,6
scrollview,6
new-architecture,6
hermes,6
api-deprecation,6
util,6
stream,6
connectivity,6
consistency,6
node-compat,6
svg,6
regex,6
encryption,6
trait-system,6
repr,6
allocator,6
c-interop,6
compiler-optimization,6
float,6
effects,6
tests,6
mkldnn,6
pytorch-test,6
torch.export,6
aotautograd,6
symbolic-execution,6
onnx-export,6
roc,6
autocast,6
linter,6
distribute,6
oom,6
multithreading,6
distributed-training,6
torch,6
core-dump,6
bfloat16,6
model-loading,6
initialization,6
animation,6
reindex,6
class,6
yaml,6
compose,6
spring-boot-3.4,6
ci/cd,6
data-source,6
reactive-programming,6
flyway,6
buildpacks,6
authorization-server,6
spring-amqp,6
spring-boot-core,6
property-binding,6
container,6
jar,6
cds,6
uri,6
spring-boot-3.2,6
spring-beans,6
kibana,6
replication,6
expression,6
importer,6
lfs,6
upload,6
precompilation,6
pyproject-toml,6
python-integration,6
uv-lock,6
segmentationfault,6
php-fpm,6
soap,6
statistics,6
dumpling,6
tidb-sql,6
hash-join,6
txn,6
visual-mode,6
code,5
remote,5
dialog,5
paste,5
keyboard-shortcuts,5
extension-host,5
text-display,5
remote-development,5
electron,5
inline-chat,5
profiles,5
window-management,5
registry,5
code-quality,5
diff-editor,5
state-management,5
unused-code,5
wsl,5
window,5
events,5
indentation,5
ui-ux,5
dynamic-imports,5
hmr,5
api-improvement,5
benchmark,5
deadlock,5
cryptography,5
runtime-crash,5
cmd,5
sys,5
playground,5
format-string,5
tutorial,5
stack,5
locking,5
env,5
code-generation,5
type-safety,5
ipv6,5
api-behavior,5
fuzz,5
zip,5
module-loading,5
decoder,5
autolinking,5
process,5
api-docs,5
image-processing,5
t-traits,5
opaque-types,5
compiler-errors,5
rustc-error,5
cfg,5
macro-rules,5
lang,5
future,5
configure,5
sort,5
diagnostic,5
debuginfo,5
unstable-features,5
integer,5
forms,5
link-issue,5
directive,5
build-performance,5
defer,5
backpropagation,5
flex-attention,5
ir,5
compiling,5
ci-failure,5
sympy,5
memorymanagement,5
priority-medium,5
fft,5
sparse,5
collective,5
floating-point,5
vmap,5
utils,5
symbolic-shapes,5
transitions,5
resource-loading,5
sass,5
table,5
transform,5
exif,5
headless,5
resource-handling,5
oracle,5
forward-port,5
boot,5
paketo,5
jdk,5
spring-batch,5
gson,5
condition,5
jersey,5
native,5
language-groovy,5
bytebuddy,5
mock,5
websockets,5
pull-request,5
oauth2,5
jakartaee,5
sbom,5
homebrew,5
converter,5
language-kotlin,5
ansi,5
classloading,5
observation,5
web-flux,5
logsdb,5
fuzzy-matching,5
streaming,5
beans,5
request-mapping,5
resttemplate,5
multipart,5
emulator,5
pull-requests,5
api-error,5
pkg,5
toml-parser,5
uv-python,5
uv-api,5
python-version,5
resolution,5
bcmath,5
curl,5
pd,5
sql-syntax,5
join,5
tidb,5
termdebug,5
panel,4
debug-console,4
zsh,4
quick-chat,4
visual,4
folding,4
find,4
keybinding,4
treeview,4
locale,4
snippets,4
detection,4
smoke-test,4
freezing,4
syntax-highlighting,4
input-output,4
breakpoint,4
insiders,4
font,4
variables,4
question,4
api-usage,4
rename,4
api-issue,4
editing,4
speech,4
ide-features,4
execution,4
dev-server,4
pagination,4
type-check,4
stacktrace,4
darwin,4
type-checker,4
plan9,4
editor-integration,4
indexer,4
fips,4
x-tools,4
gomote,4
gcimporter,4
godebug,4
standard-library,4
timer,4
memory-corruption,4
alignment,4
api-breaking,4
privacy,4
highlight,4
assembly,4
time,4
lock,4
mmap,4
type:bug,4
copyright,4
pe-file,4
static-analysis,4
pgo,4
release-management,4
slog,4
new-feature,4
timezone,4
vulnerability,4
embedding,4
language-behavior,4
rfc-compliance,4
leak,4
newarchitecture,4
image-loading,4
inspector,4
errors,4
timers,4
buffer,4
eval,4
readline,4
type-api,4
utf8,4
nodejs-compatibility,4
library-compatibility,4
node-integration,4
stability,4
type-mismatch,4
vitest,4
connection,4
data-corruption,4
t-rustdoc,4
ty,4
proc-macro,4
compiler-rt,4
impl-trait,4
rustfmt,4
const-fn,4
mir-opt,4
const-propagation,4
transmute,4
intrinsics,4
static-items,4
const-items,4
wasi,4
associated-types,4
hir,4
fn-delegation,4
stack-overflow,4
dead-code,4
target-support,4
msvc,4
async-runtime,4
t-build-system,4
compilers,4
typeck,4
vector,4
help-text,4
libc,4
collections,4
posix,4
conpty,4
angular.dev,4
custom-elements,4
firefox,4
template-syntax,4
component-interaction,4
area-core,4
linear,4
norm,4
pipelining,4
graph-execution,4
torch-dynamo,4
hip,4
devicemesh,4
api-consistency,4
verification,4
gradient,4
eager,4
datatype,4
unittest,4
torchcompile,4
torch.fx,4
cpp-extension,4
optimizers,4
nestedtensor,4
multiprocessing,4
distributeddataparallel,4
distributions,4
third-party,4
meta,4
placement,4
slot,4
transition,4
qt,4
wallet,4
data-structures,4
data-model,4
svelte-component,4
svelte-core,4
taxonomy,4
plugin-upgrade,4
jakarta-ee,4
spring-boot-starter-web,4
thymeleaf,4
property-resolution,4
adoc,4
javadoc,4
jooq,4
spring-security,4
spring-boot-features,4
multi-release,4
spring-ldap,4
build-tooling,4
constructor,4
spring-boot-3.3,4
observability,4
prometheus,4
configuration-properties,4
otel,4
sdkman,4
coding-style,4
spring-pulsar,4
spring-mvc,4
activemq,4
spring-authorization-server,4
transaction-management,4
release-process,4
spring-ws,4
property-placeholder,4
endpoint,4
mustache,4
s3,4
spatial,4
tmux,4
sway,4
data-binding,4
beanfactory,4
task-scheduler,4
freemarker,4
transaction,4
qemu,4
overlay,4
ocr,4
rich-text-editor,4
driver-issue,4
download-issue,4
arrays,4
requires-python,4
versioning,4
resolver,4
virtualenv,4
package-installation,4
uv-run,4
vuetify,4
v-data-table,4
component:-vselect,4
phar,4
pcre,4
zend-optimizer,4
fpm,4
memorysafety,4
libxml2,4
mbstring,4
php8,4
pgsql,4
generated-columns,4
backup-restore,4
coprocessor,4
cte,4
privilege,4
query-plan,4
vim9,4
popup,4
vim9class,4
quick-open,3
files,3
code-smell,3
download-failure,3
remote-debugging,3
webview,3
activity-bar,3
toolbar,3
vscode-extension,3
extension-installation,3
tree-view,3
featurerequest,3
test-explorer,3
text-model,3
vim,3
launch,3
quickpick,3
code-editor,3
extension-management,3
ai,3
api-incompatibility,3
code-optimization,3
code-lens,3
node,3
extensionhost,3
suggestions,3
remote-ssh,3
clarity,3
commands,3
quick-picks,3
memoryleak,3
tooltip,3
prompt,3
history,3
watcher,3
help-wanted,3
window-behavior,3
state,3
aux-window,3
voice,3
audio,3
developer-experience,3
webpack,3
headers,3
client-side,3
relay,3
minification,3
vercel,3
server-rendering,3
html/template,3
js,3
pkgsite,3
examples,3
cmd/trace,3
cross-compile,3
go1.x,3
relui,3
reporting,3
workflows,3
atomic,3
code-action,3
modules,3
go1.23,3
action,3
go-tools,3
assembler,3
maps,3
area/build,3
area/testing,3
go1.22,3
github,3
acme,3
request-body,3
user-facing,3
dwarf,3
appearance,3
organize-imports,3
x/telemetry,3
error-reporting,3
transport,3
parse-error,3
x509,3
go.mod,3
pie,3
mach-o,3
archive,3
build-related,3
reference,3
type-improvement,3
type-checking,3
command-line-behavior,3
removal,3
feature-discussion,3
platform-compatibility,3
compiler-feedback,3
relocation,3
semantics,3
quickfix,3
dark-mode,3
turbomodule,3
touch,3
bridgeless,3
flow,3
syntax-error,3
native-modules,3
modal,3
assert,3
contributor,3
zlib,3
serde,3
sqlite,3
webidl,3
object-model,3
child-process,3
vm,3
promise,3
parallel,3
worker-threads,3
circular-dependency,3
property-access,3
type-feature,3
governance,3
installer,3
watch,3
framework-integration,3
http-headers,3
random,3
tokio,3
type:enhancement,3
jsx,3
astro,3
api-request,3
api-missing,3
publish,3
web-api,3
compression,3
jest,3
f-type-system,3
f-abi,3
edition,3
f-trait,3
compiler-frontend,3
api-review,3
hermit,3
rmake,3
emscripten,3
async-fn,3
compiler-panic,3
extern-c,3
libcore,3
compiler-builtins,3
f-unsafe,3
drop,3
f-closures,3
rustc-bug,3
f-async,3
cfi,3
index-out-of-bounds,3
a-compiler,3
incremental-compilation,3
riscv,3
f-const,3
delegation,3
copy,3
unsized-types,3
license,3
t-const,3
extern,3
incremental,3
submodules,3
nightly,3
object-safety,3
bounds,3
command-line-interface,3
union,3
specialization,3
zoneless,3
angular-compiler,3
platform-server,3
rxjs,3
content-projection,3
dependencyinjection,3
mermaid,3
area-compiler,3
class-binding,3
symbolic-computation,3
torch.cond,3
set,3
dispatch,3
conv1d,3
interpolation,3
torch-script,3
compute,3
stable-diffusion,3
mkl,3
matmul,3
runner,3
aotcompilation,3
llama,3
compiler-issue,3
conv2d,3
conv,3
broadcast,3
torch-api,3
nn-modules,3
huggingface,3
nn-module,3
inference-mode,3
dynamo-export,3
boolean,3
dcp,3
bool,3
python-compatibility,3
type-hints,3
type:-bug,3
compile-autograd,3
performance-regression,3
cudagraphs,3
tensor-subclass,3
c10d,3
tvm,3
inlining,3
arm,3
memory-access,3
model-behavior,3
tensorboard,3
css-generation,3
utility,3
postcss,3
plugin-issue,3
plugins,3
selector,3
clang,3
data-integrity,3
custom-element,3
svelte-syntax,3
slots,3
rollup,3
goldmark,3
front-matter,3
shortcodes,3
content-rendering,3
latex,3
images,3
path-handling,3
multilingual,3
glob,3
language-update,3
log4j2,3
jmx,3
mariadb,3
annotations,3
retry,3
asciidoc,3
technology,3
build-info,3
binder,3
request-handling,3
management,3
bom,3
conditional,3
convention,3
application-context,3
test-improvement,3
mssql,3
spring-boot-3.x,3
spring-boot-buildpack,3
containerization,3
launcher,3
logback,3
newrelic,3
constructor-binding,3
rabbitmq,3
conversion,3
classloader,3
spring-cloud,3
image-building,3
domain-core,3
startup-failure,3
mime-types,3
spring-data-mongodb,3
web-client,3
class-loader,3
cookie,3
java-version,3
rest-client,3
maintenance,3
api-removal,3
rank-eval,3
multi-cluster,3
date-format,3
recovery,3
knn,3
ccr,3
filtering,3
ingest,3
fullclusterrestartit,3
keyword,3
ui-enhancement,3
terminal-integration,3
bash,3
usage,3
interactive,3
ui-improvement,3
instruction-handling,3
visibility,3
forc,3
memory-usage,3
resource-resolution,3
web-mvc,3
bean-post-processing,3
sse,3
spring-framework-6.1,3
blocking,3
web-framework,3
null-safety,3
mime,3
restclient,3
deserialization,3
spring-webmvc,3
spring-framework-core,3
string-handling,3
bsim,3
disassembly,3
pdb,3
disassembler,3
rtti,3
switch-statement,3
pcode,3
codebrowser,3
conflicts,3
branch,3
mirror,3
pypi,3
project,3
webhooks,3
115,3
method-dispatch,3
wheel,3
cli-usage,3
python-versioning,3
editable,3
venv,3
poetry,3
uv-add,3
labs,3
form,3
calendar,3
simplexml,3
uaf,3
intl,3
zendengine,3
ext-calendar,3
ext-dom,3
ext-standard,3
calling-convention,3
dml,3
checksum,3
tidb-ddl,3
sql-feature,3
data-migration,3
resource-control,3
area-sql,3
auto-analyze,3
flashback,3
info-schema,3
region,3
xxd,3
gettext,3
autocommand,3
autoload,3
gvim,3
icons,2
widget,2
code-server,2
editor-feature,2
multi-window,2
zoom,2
quick-pick,2
language-model,2
references,2
marketplace,2
saving,2
iconography,2
source-control,2
draganddrop,2
text-editor,2
stepping,2
setting,2
instantiation,2
vscode-ui,2
msal,2
publisher,2
test-missing,2
code-clarity,2
extension-issues,2
api-update,2
esmodules,2
notification,2
input-focus,2
lldb,2
local-history,2
language-style,2
pty,2
devcontainer,2
extension-issue,2
chatgpt,2
extensionapi,2
fuzzy-search,2
compare,2
web-ui,2
quickopen,2
customization,2
ui-feedback,2
monaco-editor,2
urls,2
autosave,2
text-rendering,2
eventhandling,2
tree,2
msys2,2
ide-feature,2
next.js-api,2
mdx,2
next-api,2
next.js,2
revalidation,2
serverless,2
server-side,2
next-14,2
